Code,Site,Expr1,General_location,Latitude,Longitude
23062,LowerSkok,5/4/2008 4:19,River 1,47.3278,123.1329
23062,Union,5/9/2008 5:26,River 1,47.3573,123.0938
17740,River 2NA,5/1/2008 13:49,River 2,47.6632,122.7873
17740,LBC,5/1/2008 13:52,River 2,47.6573,122.7946
17740,LBC,5/1/2008 14:17,River 2,47.6573,122.7946
17740,River 2 Bridge,5/1/2008 3:55,River 2,47.6555,122.7859
20595,River 2 Bridge,4/23/2008 19:30,River 2,47.6555,122.79
20595,River 2NA,4/24/2008 4:40,River 2,47.6632,122.79
20595,River 2 North,4/24/2008 4:42,River 2,47.6613,122.78
23033,Little Anderson 08,5/10/2008 17:13,River 2,47.6728,122.76
23033,HCB 1,5/11/2008 9:14,River 2,47.8656,122.63
23033,HCB 1,5/11/2008 9:15,River 2,47.8656,122.63
23033,HCB 1,5/11/2008 9:16,River 2,47.8656,122.63
23033,HCB 2,5/11/2008 9:17,River 2,47.8639,122.63
23033,HCB 1,5/11/2008 9:18,River 2,47.8656,122.63
23033,HCB 1,5/11/2008 9:23,River 2,47.8656,122.63
23033,HCB 1,5/11/2008 9:24,River 2,47.8656,122.63
23033,HCB 1,5/11/2008 9:26,River 2,47.8656,122.63
23035,River 2 Bridge,5/7/2008 17:32,River 2,47.6555,122.79
23035,River 2NA,5/8/2008 2:33,River 2,47.6632,122.79
23035,River 2NA,5/8/2008 2:38,River 2,47.6632,122.79
23035,River 2NA,5/8/2008 2:40,River 2,47.6632,122.79
23035,River 2NA,5/8/2008 2:41,River 2,47.6632,122.79
23035,River 2NA,5/8/2008 2:50,River 2,47.6632,122.79
23035,River 2NA,5/8/2008 2:51,River 2,47.6632,122.79
23035,River 2NA,5/8/2008 2:52,River 2,47.6632,122.79
23035,River 2NA,5/8/2008 2:53,River 2,47.6632,122.79
23035,River 2NA,5/8/2008 2:54,River 2,47.6632,122.79
23035,River 2NA,5/8/2008 2:55,River 2,47.6632,122.79
23035,River 2NA,5/8/2008 2:56,River 2,47.6632,122.79
23035,River 2NA,5/8/2008 3:00,River 2,47.6632,122.79
23035,River 2NA,5/8/2008 3:07,River 2,47.6632,122.79
23035,River 2NA,5/8/2008 3:08,River 2,47.6632,122.79
23035,River 2 North,5/8/2008 3:15,River 2,47.6613,122.78
23035,River 2 North,5/8/2008 3:16,River 2,47.6613,122.78
23035,River 2 North,5/8/2008 3:17,River 2,47.6613,122.78
23035,River 2 North,5/8/2008 3:18,River 2,47.6613,122.78
23035,River 2 North,5/8/2008 3:20,River 2,47.6613,122.78
23035,River 2 North,5/8/2008 3:21,River 2,47.6613,122.78
23035,River 2 North,5/8/2008 3:22,River 2,47.6613,122.78
23035,River 2 North,5/8/2008 3:32,River 2,47.6613,122.78
23035,River 2 North,5/8/2008 3:34,River 2,47.6613,122.78
23035,River 2 North,5/8/2008 3:35,River 2,47.6613,122.78
23035,River 2 North,5/8/2008 3:37,River 2,47.6613,122.78
23035,River 2 North,5/8/2008 3:39,River 2,47.6613,122.78
23035,Misery Pt,5/8/2008 15:12,River 2,47.657,122.83
23035,Misery Pt,5/8/2008 15:13,River 2,47.657,122.83
23035,Misery Pt,5/8/2008 15:15,River 2,47.657,122.83
23035,Misery Pt,5/8/2008 15:16,River 2,47.657,122.83
23035,Misery Pt,5/8/2008 15:17,River 2,47.657,122.83
23035,Misery Pt,5/8/2008 15:18,River 2,47.657,122.83
23035,Misery Pt,5/8/2008 15:19,River 2,47.657,122.83
23035,Misery Pt,5/8/2008 15:22,River 2,47.657,122.83
23035,Misery Pt,5/8/2008 15:23,River 2,47.657,122.83
23035,Misery Pt,5/8/2008 15:30,River 2,47.657,122.83
23035,Misery Pt,5/8/2008 15:30,River 2,47.657,122.83
23035,Misery Pt,5/8/2008 15:31,River 2,47.657,122.83
23035,Misery Pt,5/8/2008 15:34,River 2,47.657,122.83
23035,Misery Pt,5/8/2008 15:36,River 2,47.657,122.83
23035,Misery Pt,5/8/2008 15:39,River 2,47.657,122.83
23035,Misery Pt,5/8/2008 15:40,River 2,47.657,122.83
23035,Misery Pt,5/8/2008 15:41,River 2,47.657,122.83
23035,HCB 6,5/10/2008 11:13,River 2,47.8562,122.62
23035,HCB 6,5/10/2008 11:14,River 2,47.8562,122.62
23035,HCB 6,5/10/2008 11:15,River 2,47.8562,122.62
23035,HCB 6,5/10/2008 11:17,River 2,47.8562,122.62
23035,HCB 6,5/10/2008 11:19,River 2,47.8562,122.62
23035,Obstruction Rocks,5/10/2008 13:14,River 2,47.8814,122.58
23035,Obstruction Rocks,5/10/2008 13:16,River 2,47.8814,122.58
23035,Obstruction Rocks,5/10/2008 13:18,River 2,47.8814,122.58
23035,NORCA 08,5/11/2008 5:57,River 2,47.9079,122.63
23035,NORCA 08,5/11/2008 5:58,River 2,47.9079,122.63
23035,NORCA 08,5/11/2008 5:59,River 2,47.9079,122.63
23062,RedBluff,5/10/2008 7:46,River 1,47.4189,123.1018
23059,LowerSkok,5/10/2008 21:42,River 1,47.3278,123.1329
23059,LowerSkok,5/10/2008 21:43,River 1,47.3278,123.1329
23059,LowerSkok,5/10/2008 21:44,River 1,47.3278,123.1329
23059,LowerSkok,5/10/2008 21:45,River 1,47.3278,123.1329
23059,LowerSkok,5/10/2008 21:46,River 1,47.3278,123.1329
23059,LowerSkok,5/10/2008 21:55,River 1,47.3278,123.1329
23059,LowerSkok,5/10/2008 22:05,River 1,47.3278,123.1329
23059,LowerSkok,5/10/2008 22:06,River 1,47.3278,123.1329
23062,ChinnonPt,5/11/2008 4:58,River 1,47.5295,123.0174
23062,ChinnonPt,5/11/2008 4:58,River 1,47.5295,123.0174
23062,HHE11,5/11/2008 6:43,River 1,47.5473,123.025
23062,HHE11,5/11/2008 6:44,River 1,47.5473,123.025
23062,HHE11,5/11/2008 6:45,River 1,47.5473,123.025
23062,HHE10,5/11/2008 12:33,River 1,47.5523,123.0277
23062,HHE10,5/11/2008 12:35,River 1,47.5523,123.0277
23062,HHE10,5/11/2008 12:38,River 1,47.5523,123.0277
23062,HHE10,5/11/2008 12:40,River 1,47.5523,123.0277
23062,Lilliwaup,5/12/2008 0:35,River 1,47.4594,123.1086
20644,LowerSkok,5/12/2008 0:52,River 1,47.3278,123.1329
20644,LowerSkok,5/12/2008 0:52,River 1,47.3278,123.1329
23062,Lilliwaup,5/12/2008 1:52,River 1,47.4594,123.1086
20644,RedBluff,5/12/2008 12:19,River 1,47.4189,123.1018
20644,RedBluff,5/12/2008 12:21,River 1,47.4189,123.1018
20644,RedBluff,5/12/2008 12:22,River 1,47.4189,123.1018
20644,RedBluff,5/12/2008 12:22,River 1,47.4189,123.1018
23062,Ayres,5/12/2008 13:44,River 1,47.3785,123.1145
23062,Ayres,5/12/2008 13:45,River 1,47.3785,123.1145
23062,Ayres,5/12/2008 14:04,River 1,47.3785,123.1145
23062,Ayres,5/12/2008 14:05,River 1,47.3785,123.1145
