DT Stamp,Latitude,Longitude,Blank,Fish
5/4/2008 4:19,47.3278,123.1329,,23062
5/9/2008 5:26,47.3573,123.0938,,23062
5/1/2008 13:49,47.6632,122.7873,,17740
5/1/2008 13:52,47.6573,122.7946,,17740
5/1/2008 14:17,47.6573,122.7946,,17740
5/1/2008 3:55,47.6555,122.7859,,17740
4/23/2008 19:30,47.6555,122.79,,20595
4/24/2008 4:40,47.6632,122.79,,20595
4/24/2008 4:42,47.6613,122.78,,20595
5/10/2008 17:13,47.6728,122.76,,23033
5/11/2008 9:14,a,0,,23033
5/11/2008 9:15,47.8656,122.63,,23033
5/11/2008 9:16,47.8656,122.63,,23033
5/11/2008 9:17,47.8639,122.63,,23033
5/11/2008 9:18,47.8656,122.63,,23033
5/11/2008 9:23,47.8656,122.63,,23033
5/11/2008 9:24,47.8656,122.63,,23033
5/11/2008 9:26,47.8656,122.63,,23033
5/7/2008 17:32,47.6555,122.79,,23035
5/8/2008 2:33,47.6632,122.79,,23035
5/8/2008 2:38,47.6632,122.79,,23035
5/8/2008 2:40,47.6632,122.79,,23035
5/8/2008 2:41,47.6632,122.79,,23035
5/8/2008 2:50,0,0,,23035
5/8/2008 2:51,47.6632,122.79,,23035
5/8/2008 2:52,47.6632,122.79,,23035
5/8/2008 2:53,47.6632,122.79,,23035
5/8/2008 2:54,47.6632,122.79,,23035
5/8/2008 2:55,47.6632,122.79,,23035
5/8/2008 2:56,47.6632,122.79,,23035
5/8/2008 3:00,47.6632,122.79,,23035
5/8/2008 3:07,47.6632,122.79,,23035
5/8/2008 3:08,47.6632,122.79,,23035
5/8/2008 3:15,47.6613,122.78,,23035
5/8/2008 3:16,47.6613,122.78,,23035
5/8/2008 3:17,47.6613,122.78,,23035
5/8/2008 3:18,47.6613,122.78,,23035
5/8/2008 3:20,47.6613,122.78,,23035
5/8/2008 3:21,47.6613,122.78,,23035
5/8/2008 3:22,47.6613,122.78,,23035
5/8/2008 3:32,47.6613,122.78,,23035
5/8/2008 3:34,47.6613,122.78,,23035
5/8/2008 3:35,47.6613,122.78,,23035
5/8/2008 3:37,47.6613,122.78,,23035
5/8/2008 3:39,47.6613,122.78,,23035
5/8/2008 15:12,47.657,122.83,,23035
5/8/2008 15:13,47.657,122.83,,23035
5/8/2008 15:15,47.657,122.83,,23035
5/8/2008 15:16,47.657,122.83,,23035
5/8/2008 15:17,47.657,122.83,,23035
5/8/2008 15:18,47.657,122.83,,23035
5/8/2008 15:19,47.657,122.83,,23035
5/8/2008 15:22,47.657,122.83,,23035
5/8/2008 15:23,47.657,122.83,,23035
5/8/2008 15:30,47.657,122.83,,23035
5/8/2008 15:30,47.657,122.83,,23035
5/8/2008 15:31,47.657,122.83,,23035
5/8/2008 15:34,47.657,122.83,,23035
5/8/2008 15:36,47.657,122.83,,23035
5/8/2008 15:39,47.657,122.83,,23035
5/8/2008 15:40,47.657,122.83,,23035
5/8/2008 15:41,47.657,122.83,,23035
5/10/2008 11:13,47.8562,122.62,,23035
5/10/2008 11:14,47.8562,122.62,,23035
5/10/2008 11:15,47.8562,122.62,,23035
5/10/2008 11:17,47.8562,122.62,,23035
5/10/2008 11:19,47.8562,122.62,,23035
5/10/2008 13:14,47.8814,122.58,,23035
5/10/2008 13:16,47.8814,122.58,,23035
5/10/2008 13:18,47.8814,122.58,,23035
5/11/2008 5:57,47.9079,122.63,,23035
5/11/2008 5:58,47.9079,122.63,,23035
5/11/2008 5:59,47.9079,122.63,,23035
5/10/2008 7:46,47.4189,123.1018,,23062
5/10/2008 21:42,47.3278,123.1329,,23059
5/10/2008 21:43,47.3278,123.1329,,23059
5/10/2008 21:44,47.3278,123.1329,,23059
5/10/2008 21:45,47.3278,123.1329,,23059
5/10/2008 21:46,47.3278,123.1329,,23059
5/10/2008 21:55,47.3278,123.1329,,23059
5/10/2008 22:05,47.3278,123.1329,,23059
5/10/2008 22:06,47.3278,123.1329,,23059
5/11/2008 4:58,47.5295,123.0174,,23062
5/11/2008 4:58,47.5295,123.0174,,23062
5/11/2008 6:43,47.5473,123.025,,23062
5/11/2008 6:44,47.5473,123.025,,23062
5/11/2008 6:45,47.5473,123.025,,23062
5/11/2008 12:33,47.5523,123.0277,,23062
5/11/2008 12:35,47.5523,123.0277,,23062
5/11/2008 12:38,47.5523,123.0277,,23062
5/11/2008 12:40,47.5523,123.0277,,23062
5/12/2008 0:35,47.4594,123.1086,,23062
5/12/2008 0:52,47.3278,123.1329,,20644
5/12/2008 0:52,47.3278,123.1329,,20644
5/12/2008 1:52,47.4594,123.1086,,23062
5/12/2008 12:19,47.4189,123.1018,,20644
5/12/2008 12:21,47.4189,123.1018,,20644
5/12/2008 12:22,47.4189,123.1018,,20644
5/12/2008 12:22,47.4189,123.1018,,20644
5/12/2008 13:44,47.3785,123.1145,,23062
5/12/2008 13:45,47.3785,123.1145,,23062
5/12/2008 14:04,47.3785,123.1145,,23062
5/12/2008 14:05,47.3785,123.1145,,23062
