[LAT],[LONG],[Date/Time],[Fish_Code],[Receiver_Name]
47.3278,123.1329,5/4/2008 4:19,23062,LowerSkok
47.3573,123.0938,5/9/2008 5:26,23062,Union
47.6632,122.7873,5/1/2008 13:49,17740,River 2NA
47.6573,122.7946,5/1/2008 13:52,17740,LBC
47.6573,122.7946,5/1/2008 14:17,17740,LBC
47.6555,122.7859,5/1/2008 3:55,17740,River 2 Bridge
47.6555,122.7859,4/23/2008 19:30,20595,River 2 Bridge
47.6632,122.7873,4/24/2008 4:40,20595,River 2NA
47.657,122.83,4/24/2008 4:42,20595,Misery Pt
47.6728,122.76,5/10/2008 17:13,23033,Little Anderson 08
47.8656,122.63,5/11/2008 9:15,23033,HCB 1
47.8656,122.63,5/11/2008 9:16,23033,HCB 1
47.8639,122.63,5/11/2008 9:17,23033,HCB 2
47.8656,122.63,5/11/2008 9:18,23033,HCB 1
47.8656,122.63,5/11/2008 9:23,23033,HCB 1
47.8656,122.63,5/11/2008 9:24,23033,HCB 1
47.8656,122.63,5/11/2008 9:26,23033,HCB 1
47.6555,122.7859,5/7/2008 17:32,23035,River 2 Bridge
47.6632,122.7873,5/8/2008 2:33,23035,River 2NA
47.6632,122.7873,5/8/2008 2:38,23035,River 2NA
47.6632,122.7873,5/8/2008 2:40,23035,River 2NA
47.6632,122.7873,5/8/2008 2:41,23035,River 2NA
47.6632,122.7873,5/8/2008 2:50,23035,River 2NA
47.6632,122.7873,5/8/2008 2:51,23035,River 2NA
47.6632,122.7873,5/8/2008 2:52,23035,River 2NA
47.6632,122.7873,5/8/2008 2:53,23035,River 2NA
47.6632,122.7873,5/8/2008 2:54,23035,River 2NA
47.6632,122.7873,5/8/2008 2:55,23035,River 2NA
47.6632,122.7873,5/8/2008 2:56,23035,River 2NA
47.6632,122.7873,5/8/2008 3:00,23035,River 2NA
47.6632,122.7873,5/8/2008 3:07,23035,River 2NA
47.6632,122.7873,5/8/2008 3:08,23035,River 2NA
47.6613,122.78,5/8/2008 3:15,23035,River 2 North
47.6613,122.78,5/8/2008 3:16,23035,River 2 North
47.6613,122.78,5/8/2008 3:17,23035,River 2 North
47.6613,122.78,5/8/2008 3:18,23035,River 2 North
47.6613,122.78,5/8/2008 3:20,23035,River 2 North
47.6613,122.78,5/8/2008 3:21,23035,River 2 North
47.6613,122.78,5/8/2008 3:22,23035,River 2 North
47.6613,122.78,5/8/2008 3:32,23035,River 2 North
47.6613,122.78,5/8/2008 3:34,23035,River 2 North
47.6613,122.78,5/8/2008 3:35,23035,River 2 North
47.6613,122.78,5/8/2008 3:37,23035,River 2 North
47.6613,122.78,5/8/2008 3:39,23035,River 2 North
47.657,122.83,5/8/2008 15:34,23035,Misery Pt
47.657,122.83,5/8/2008 15:36,23035,Misery Pt
47.657,122.83,5/8/2008 15:39,23035,Misery Pt
47.657,122.83,5/8/2008 15:40,23035,Misery Pt
47.657,122.83,5/8/2008 15:41,23035,Misery Pt
47.8562,122.62,5/10/2008 11:13,23035,HCB 6
47.8562,122.62,5/10/2008 11:14,23035,HCB 6
47.8562,122.62,5/10/2008 11:15,23035,HCB 6
47.8562,122.62,5/10/2008 11:17,23035,HCB 6
47.8562,122.62,5/10/2008 11:19,23035,HCB 6
47.8814,122.58,5/10/2008 13:14,23035,Obstruction Rocks
47.8814,122.58,5/10/2008 13:16,23035,Obstruction Rocks
47.8814,122.58,5/10/2008 13:18,23035,Obstruction Rocks
47.9079,122.63,5/11/2008 5:57,23035,NORCA 08
47.9079,122.63,5/11/2008 5:58,23035,NORCA 08
47.9079,122.63,5/11/2008 5:59,23035,NORCA 08
47.4189,123.1018,5/10/2008 7:46,23062,RedBluff
47.3278,123.1329,5/10/2008 21:42,23059,LowerSkok
47.3278,123.1329,5/10/2008 21:43,23059,LowerSkok
47.3278,123.1329,5/10/2008 21:44,23059,LowerSkok
47.3278,123.1329,5/10/2008 21:45,23059,LowerSkok
47.3278,123.1329,5/10/2008 21:46,23059,LowerSkok
47.3278,123.1329,5/10/2008 21:55,23059,LowerSkok
47.3278,123.1329,5/10/2008 22:05,23059,LowerSkok
47.3278,123.1329,5/10/2008 22:06,23059,LowerSkok
47.5295,123.0174,5/11/2008 4:58,23062,ChinnonPt
47.5295,123.0174,5/11/2008 4:58,23062,ChinnonPt
47.5473,123.025,5/11/2008 6:43,23062,HHE11
47.5473,123.025,5/11/2008 6:44,23062,HHE11
47.5473,123.025,5/11/2008 6:45,23062,HHE11
47.5523,123.0277,5/11/2008 12:33,23062,HHE10
47.5523,123.0277,5/11/2008 12:35,23062,HHE10
47.5523,123.0277,5/11/2008 12:38,23062,HHE10
47.5523,123.0277,5/11/2008 12:40,23062,HHE10
47.4594,123.1086,5/12/2008 0:35,23062,Lilliwaup
47.3278,123.1329,5/12/2008 0:52,20644,LowerSkok
47.3278,123.1329,5/12/2008 0:52,20644,LowerSkok
47.4594,123.1086,5/12/2008 1:52,23062,Lilliwaup
47.4189,123.1018,5/12/2008 12:19,20644,RedBluff
47.4189,123.1018,5/12/2008 12:21,20644,RedBluff
47.4189,123.1018,5/12/2008 12:22,20644,RedBluff
47.4189,123.1018,5/12/2008 12:22,20644,RedBluff
47.3785,123.1145,5/12/2008 13:44,23062,Ayres
47.3785,123.1145,5/12/2008 13:45,23062,Ayres
47.3785,123.1145,5/12/2008 14:04,23062,Ayres
47.3785,123.1145,5/12/2008 14:05,23062,Ayres
